x,y,date_single
352255.3493948131,578929.730860934,23/02/2014
350458.79324536363,582370.3149460643,23/02/2014
352057.5355064621,577020.7972658329,23/02/2014
351770.4022867109,571699.5963198297,23/02/2014
354010.3978592529,580433.0095357993,23/02/2014
347499.53960209305,581887.2112524265,23/02/2014
347143.54561024735,580213.5134952518,23/02/2014
351620.13612340216,587850.3505837672,23/02/2014
359330.0678237994,565415.8071610563,23/02/2014
353102.01919197076,589299.0516455086,23/02/2014
351095.2095963669,573924.3113288296,23/02/2014
349647.4392033588,583369.1697340886,23/02/2014
362471.65408957936,566193.6419650718,23/02/2014
352831.6947056565,578178.4498893421,23/02/2014
348147.8563919121,585361.6525903974,23/02/2014
353734.2117445471,581431.8224253544,24/02/2014
352188.25719709083,567799.9685023229,24/02/2014
355140.58003089076,582052.385880468,24/02/2014
358166.96037949406,574785.4227480148,24/02/2014
357108.05604459945,576773.8953541237,24/02/2014
359857.98005666595,568470.76433933,24/02/2014
352164.7974328881,577658.1498727098,24/02/2014
351836.2185640965,582579.3735595354,24/02/2014
353618.662988315,581833.6005899926,24/02/2014
357603.6875305182,558707.7527322386,24/02/2014
357452.48817496037,575032.2182725429,24/02/2014
351342.10055699124,590494.5103235724,24/02/2014
363476.5777986201,566914.4860664335,24/02/2014
348216.6963378702,581897.5873893637,24/02/2014
356108.2991924858,556307.3989579994,24/02/2014
362700.837190789,566109.2305676327,24/02/2014
341177.68749546754,586994.7428668452,24/02/2014
345672.2619483753,586219.3631157421,24/02/2014
351876.49357468396,568337.2913931396,24/02/2014
361435.0043015825,554141.5626619931,24/02/2014
352262.0521500933,582403.545778121,24/02/2014
358166.96037949406,574785.4227480148,24/02/2014
353293.1517035839,568093.4669383031,24/02/2014
357688.6869026853,562769.2699153877,24/02/2014
357953.896920764,572240.2824500568,24/02/2014
344222.6151625349,582229.5282263149,24/02/2014
344874.58258501487,583558.7203968575,24/02/2014
358166.96037949406,574785.4227480148,24/02/2014
353245.9555667949,566069.0309909086,24/02/2014
346267.5034826721,589551.1318681367,24/02/2014
363400.0422155924,564534.8987874183,24/02/2014
361072.87025081326,564471.5631063717,24/02/2014
359193.5102919592,570465.4709659441,24/02/2014
364707.3208012096,562950.885401861,24/02/2014
356342.35290169274,579654.2194344519,24/02/2014
359818.33349420107,554399.0397164598,24/02/2014
352184.3056578035,571322.5156666873,25/02/2014
350703.3030977901,588359.0296273766,25/02/2014
359776.2359684942,563826.6028757044,25/02/2014
359082.23724428326,564598.3598928265,25/02/2014
354686.9983815657,591411.0030054279,25/02/2014
350703.3030977901,588359.0296273766,25/02/2014
359965.5670803061,571905.0086089611,25/02/2014
342428.5326961809,585324.4417475996,25/02/2014
357106.19823100476,558416.3170289331,25/02/2014
348236.5113245966,589318.5365952699,25/02/2014
356361.6039085345,574194.005014375,25/02/2014
344667.02435573936,582621.8392468825,25/02/2014
356191.80539842584,565212.5304195714,25/02/2014
350880.7068482625,567195.8604180738,25/02/2014
357112.6414911681,565184.7224123309,25/02/2014
352419.5938763805,585939.5826549605,25/02/2014
351164.10209972505,575124.6245840907,25/02/2014
344594.4415707092,585080.8942344275,25/02/2014
360983.9138382436,564075.60068515,25/02/2014
352232.807073513,569712.5281380415,25/02/2014
354344.0818474724,573957.202646977,25/02/2014
354755.576904595,581071.2779736938,25/02/2014
357353.422510394,557014.2227681212,25/02/2014
344561.53044159577,586044.3679441622,25/02/2014
355818.407423448,586246.8187117821,25/02/2014
351718.91132757923,567320.8330233012,26/02/2014
351876.49357468396,568337.2913931396,26/02/2014
346497.67445248296,581436.077293549,26/02/2014
363404.32732006436,564332.8904638302,26/02/2014
351477.4487651988,567414.724045309,26/02/2014
351268.37954102113,589467.9629764165,26/02/2014
351781.638402102,579268.9375491488,26/02/2014
352758.20875337464,569079.49408173,26/02/2014
353245.62921092263,566079.3583388354,26/02/2014
348255.1569148889,588001.5285671118,26/02/2014
354880.24929278315,569313.2918370814,26/02/2014
