x,y,date_single
356153.98746933066,581079.1720884135,22/12/2015
360250.507803603,564851.9093621398,22/12/2015
364713.7043489695,564545.3245786136,22/12/2015
352222.1194770046,588075.0151029216,22/12/2015
347070.0427428573,583508.7082209819,22/12/2015
364476.8972104709,565891.8712388494,22/12/2015
350365.53231432283,574690.8626853467,22/12/2015
350611.2322377062,576760.1314674489,22/12/2015
355456.6450718214,591305.2319607637,22/12/2015
362892.5532603767,563872.8551595329,22/12/2015
364722.5479485537,564156.0836263013,22/12/2015
351226.91547150334,563352.5678851153,22/12/2015
356389.6265496517,560379.2953366353,22/12/2015
364823.4818129121,562912.5042851967,22/12/2015
355082.0310106416,565638.3080368938,22/12/2015
354306.2990529746,582919.2507571811,22/12/2015
350173.82300321787,570448.9573202417,22/12/2015
350061.08329333796,581762.5920997395,22/12/2015
344669.43587750307,584972.0680261949,22/12/2015
360208.7565739347,571602.5964907489,22/12/2015
350175.9686614856,574245.5656713651,22/12/2015
355691.04654095083,586732.0042358247,22/12/2015
354418.7963657698,579228.393904317,22/12/2015
347570.5586908492,584840.7129489944,22/12/2015
354631.8335010642,591687.8281150297,22/12/2015
354314.5549594199,582652.8421929867,22/12/2015
347572.63208468404,584840.7268206744,22/12/2015
359404.6979351305,558932.3778272244,23/12/2015
348284.36802643904,567386.3383061746,23/12/2015
354631.8335010642,591687.8281150297,23/12/2015
351220.80130233424,563962.8644042033,23/12/2015
354159.99714562146,582684.3204402019,23/12/2015
354171.27475479536,582674.1872938833,23/12/2015
350435.37213773985,581472.107857403,23/12/2015
355171.0287654691,569730.8367209553,23/12/2015
348213.0275290883,584250.6784919926,23/12/2015
355467.5867992308,569967.0550535304,23/12/2015
353307.77793205227,582007.3202724496,23/12/2015
349114.31191901496,585081.245215215,23/12/2015
359253.21599678387,568276.3424126563,23/12/2015
360181.3293528673,561474.1137875224,23/12/2015
358648.1958225722,565828.1574295058,23/12/2015
353785.10275483347,583196.0918294288,23/12/2015
356362.79285529064,574768.9396162239,23/12/2015
350808.7219023285,587829.949758142,23/12/2015
355110.11307398253,558797.6686583295,23/12/2015
348466.3324662768,579281.1518870727,23/12/2015
360517.26036149805,553946.7220372703,23/12/2015
348291.1017805424,589640.1388014922,23/12/2015
359921.6786584804,563445.279115889,23/12/2015
344594.79556220194,585064.1242572821,23/12/2015
354163.337732348,580740.5179919634,23/12/2015
351238.1734055851,587048.0592659529,23/12/2015
348324.3119932879,585365.6266986826,23/12/2015
